year,month,vote_average,comedy
1968,5,5.591666666666668,0.125
1968,6,5.8809523809523805,0.19047619047619047
1968,7,5.714285714285714,0.19047619047619047
1968,8,5.973076923076925,0.34615384615384615
1968,9,6.199999999999999,0.38095238095238093
1968,10,5.6,0.32
1968,11,5.425000000000001,0.3333333333333333
1968,12,6.33720930232558,0.32558139534883723
1969,1,6.13409090909091,0.18181818181818182
1969,2,5.5473684210526315,0.3157894736842105
1969,3,5.52962962962963,0.48148148148148145
1969,4,6.092307692307691,0.46153846153846156
1969,5,5.573684210526316,0.15789473684210525
1969,6,5.445833333333334,0.20833333333333334
1969,7,4.811764705882353,0.29411764705882354
1969,8,5.78125,0.25
1969,9,5.779166666666668,0.2916666666666667
1969,10,5.325000000000001,0.21428571428571427
1969,11,4.542857142857143,0.3333333333333333
1969,12,6.191176470588235,0.3235294117647059
1970,1,6.033333333333335,0.25
1970,2,5.534782608695653,0.13043478260869565
1970,3,6.642105263157895,0.15789473684210525
1970,4,6.481249999999998,0.4375
1970,5,6.457142857142857,0.38095238095238093
1970,6,5.826086956521739,0.30434782608695654
1970,7,5.346666666666667,0.13333333333333333
1970,8,4.55,0.34615384615384615
1970,9,5.599999999999999,0.26666666666666666
1970,10,5.643902439024391,0.17073170731707318
1970,11,4.917241379310345,0.2413793103448276
1970,12,6.300000000000001,0.3333333333333333
1971,1,5.966666666666667,0.21568627450980393
1971,2,5.952380952380952,0.23809523809523808
1971,3,5.2375,0.20833333333333334
1971,4,5.575000000000002,0.34375
1971,5,5.699999999999999,0.2727272727272727
1971,6,5.546153846153846,0.3076923076923077
1971,7,6.4818181818181815,0.0
1971,8,5.163157894736841,0.13157894736842105
1971,9,5.47037037037037,0.25925925925925924
1971,10,5.730769230769232,0.2564102564102564
1971,11,6.304347826086958,0.17391304347826086
1971,12,5.519354838709678,0.5161290322580645
1972,1,5.044,0.32
1972,2,5.7043478260869565,0.17391304347826086
